index,value,sort
551,9.8,1
310,9.7,2
335,9.5,3
555,9.5,3
111,9.5,3
780,9.5,3
800,9.4,4
628,9.4,4
178,9.4,4
743,9.4,4
552,9.4,4
782,9.4,4
622,9.4,4
485,9.4,4
488,9.4,4
828,9.4,4
529,9.3,5
453,9.3,5
382,9.3,5
142,9.3,5
699,9.3,5
942,9.3,5
252,9.3,5
77,9.3,5
634,9.3,5
457,9.3,5
255,9.2,6
832,9.2,6
580,9.2,6
1002,9.2,6
269,9.2,6
350,9.2,6
602,9.2,6
711,9.2,6
594,9.2,6
28,9.2,6
388,9.2,6
906,9.2,6
390,9.2,6
825,9.2,6
903,9.2,6
788,9.2,6
547,9.2,6
121,9.2,6
541,9.2,6
777,9.2,6
117,9.2,6
42,9.2,6
91,9.2,6
532,9.2,6
1050,9.2,6
993,9.1,7
510,9.1,7
306,9.1,7
476,9.1,7
969,9.1,7
619,9.1,7
608,9.1,7
349,9.1,7
620,9.1,7
423,9.1,7
373,9.1,7
448,9.1,7
506,9.1,7
283,9.1,7
59,9.1,7
118,9.1,7
124,9.1,7
129,9.1,7
141,9.1,7
773,9.1,7
95,9.1,7
162,9.1,7
740,9.1,7
735,9.1,7
715,9.1,7
189,9.1,7
191,9.1,7
197,9.1,7
801,9.1,7
219,9.1,7
502,9.1,7
53,9.1,7
835,9.1,7
249,9.1,7
262,9.1,7
115,9.1,7
766,9.0,8
793,9.0,8
759,9.0,8
951,9.0,8
950,9.0,8
637,9.0,8
723,9.0,8
696,9.0,8
661,9.0,8
653,9.0,8
685,9.0,8
411,9.0,8
1012,9.0,8
56,9.0,8
216,9.0,8
494,9.0,8
230,9.0,8
231,9.0,8
273,9.0,8
106,9.0,8
303,9.0,8
84,9.0,8
73,9.0,8
360,9.0,8
68,9.0,8
398,9.0,8
1055,9.0,8
493,9.0,8
18,9.0,8
169,9.0,8
55,9.0,8
165,8.9,9
760,8.9,9
149,8.9,9
751,8.9,9
847,8.9,9
799,8.9,9
25,8.9,9
148,8.9,9
762,8.9,9
805,8.9,9
798,8.9,9
57,8.9,9
48,8.9,9
821,8.9,9
52,8.9,9
80,8.9,9
74,8.9,9
108,8.9,9
498,8.9,9
166,8.9,9
357,8.9,9
454,8.9,9
536,8.9,9
443,8.9,9
442,8.9,9
548,8.9,9
438,8.9,9
414,8.9,9
876,8.9,9
402,8.9,9
561,8.9,9
394,8.9,9
607,8.9,9
183,8.9,9
340,8.9,9
334,8.9,9
610,8.9,9
613,8.9,9
328,8.9,9
293,8.9,9
291,8.9,9
264,8.9,9
643,8.9,9
241,8.9,9
196,8.9,9
855,8.9,9
1059,8.9,9
986,8.9,9
945,8.9,9
896,8.9,9
932,8.9,9
917,8.9,9
946,8.9,9
1025,8.9,9
999,8.9,9
384,8.8,10
396,8.8,10
914,8.8,10
270,8.8,10
1042,8.8,10
213,8.8,10
222,8.8,10
615,8.8,10
673,8.8,10
460,8.8,10
770,8.8,10
217,8.8,10
966,8.8,10
841,8.8,10
1052,8.8,10
1022,8.8,10
336,8.8,10
333,8.8,10
227,8.8,10
908,8.8,10
927,8.8,10
175,8.8,10
265,8.8,10
791,8.8,10
32,8.8,10
483,8.8,10
809,8.8,10
987,8.8,10
168,8.8,10
1058,8.8,10
683,8.8,10
338,8.8,10
912,8.8,10
507,8.8,10
314,8.8,10
20,8.8,10
159,8.8,10
110,8.8,10
739,8.8,10
973,8.8,10
301,8.8,10
1047,8.8,10
422,8.8,10
439,8.8,10
935,8.8,10
737,8.8,10
500,8.8,10
631,8.8,10
309,8.8,10
157,8.8,10
12,8.8,10
655,8.8,10
1057,8.8,10
858,8.8,10
755,8.8,10
363,8.8,10
733,8.8,10
431,8.8,10
1,8.8,10
234,8.8,10
346,8.7,11
729,8.7,11
220,8.7,11
145,8.7,11
224,8.7,11
988,8.7,11
1045,8.7,11
347,8.7,11
756,8.7,11
365,8.7,11
440,8.7,11
215,8.7,11
143,8.7,11
247,8.7,11
919,8.7,11
257,8.7,11
754,8.7,11
713,8.7,11
47,8.7,11
451,8.7,11
381,8.7,11
915,8.7,11
564,8.7,11
163,8.7,11
1053,8.7,11
256,8.7,11
71,8.7,11
1005,8.7,11
345,8.7,11
113,8.7,11
203,8.7,11
425,8.7,11
1003,8.7,11
99,8.7,11
1016,8.7,11
666,8.7,11
664,8.7,11
192,8.7,11
401,8.7,11
852,8.7,11
960,8.7,11
857,8.7,11
13,8.7,11
862,8.7,11
867,8.7,11
837,8.7,11
868,8.7,11
961,8.7,11
104,8.7,11
975,8.7,11
995,8.7,11
874,8.7,11
654,8.7,11
407,8.7,11
1035,8.7,11
410,8.7,11
644,8.7,11
892,8.7,11
668,8.7,11
958,8.7,11
902,8.7,11
520,8.7,11
604,8.7,11
86,8.7,11
266,8.7,11
601,8.7,11
526,8.7,11
202,8.7,11
577,8.7,11
827,8.7,11
677,8.7,11
82,8.7,11
399,8.7,11
98,8.7,11
670,8.7,11
598,8.7,11
1028,8.7,11
239,8.6,12
437,8.6,12
583,8.6,12
648,8.6,12
1040,8.6,12
636,8.6,12
223,8.6,12
709,8.6,12
76,8.6,12
940,8.6,12
139,8.6,12
659,8.6,12
75,8.6,12
937,8.6,12
680,8.6,12
939,8.6,12
1009,8.6,12
400,8.6,12
592,8.6,12
669,8.6,12
1026,8.6,12
941,8.6,12
287,8.6,12
150,8.6,12
323,8.6,12
275,8.6,12
513,8.6,12
836,8.6,12
515,8.6,12
1018,8.6,12
831,8.6,12
826,8.6,12
904,8.6,12
182,8.6,12
524,8.6,12
472,8.6,12
339,8.6,12
471,8.6,12
533,8.6,12
959,8.6,12
851,8.6,12
193,8.6,12
194,8.6,12
864,8.6,12
499,8.6,12
870,8.6,12
871,8.6,12
304,8.6,12
5,8.6,12
1015,8.6,12
491,8.6,12
199,8.6,12
997,8.6,12
998,8.6,12
290,8.6,12
482,8.6,12
806,8.6,12
819,8.6,12
537,8.6,12
211,8.6,12
550,8.6,12
774,8.6,12
359,8.6,12
764,8.6,12
560,8.6,12
155,8.6,12
567,8.6,12
154,8.6,12
367,8.6,12
368,8.6,12
738,8.6,12
923,8.6,12
971,8.6,12
152,8.6,12
573,8.6,12
779,8.6,12
967,8.6,12
46,8.6,12
35,8.6,12
33,8.6,12
784,8.6,12
352,8.6,12
796,8.6,12
468,8.6,12
226,8.5,13
198,8.5,13
177,8.5,13
487,8.5,13
130,8.5,13
201,8.5,13
972,8.5,13
600,8.5,13
534,8.5,13
633,8.5,13
200,8.5,13
495,8.5,13
188,8.5,13
179,8.5,13
1024,8.5,13
616,8.5,13
612,8.5,13
134,8.5,13
161,8.5,13
936,8.5,13
237,8.5,13
505,8.5,13
944,8.5,13
478,8.5,13
464,8.5,13
514,8.5,13
497,8.5,13
90,8.5,13
51,8.5,13
849,8.5,13
1048,8.5,13
392,8.5,13
802,8.5,13
981,8.5,13
389,8.5,13
253,8.5,13
982,8.5,13
698,8.5,13
371,8.5,13
769,8.5,13
63,8.5,13
899,8.5,13
804,8.5,13
383,8.5,13
326,8.5,13
989,8.5,13
811,8.5,13
823,8.5,13
717,8.5,13
718,8.5,13
719,8.5,13
726,8.5,13
812,8.5,13
845,8.5,13
848,8.5,13
246,8.5,13
102,8.5,13
288,8.5,13
45,8.5,13
112,8.5,13
775,8.5,13
296,8.5,13
883,8.5,13
355,8.5,13
40,8.5,13
105,8.5,13
656,8.5,13
413,8.5,13
284,8.5,13
307,8.5,13
662,8.5,13
671,8.5,13
859,8.5,13
850,8.5,13
375,8.5,13
354,8.4,14
530,8.4,14
546,8.4,14
210,8.4,14
954,8.4,14
463,8.4,14
905,8.4,14
263,8.4,14
1004,8.4,14
792,8.4,14
186,8.4,14
814,8.4,14
30,8.4,14
289,8.4,14
885,8.4,14
1014,8.4,14
297,8.4,14
881,8.4,14
480,8.4,14
962,8.4,14
282,8.4,14
866,8.4,14
9,8.4,14
14,8.4,14
897,8.4,14
276,8.4,14
1000,8.4,14
318,8.4,14
319,8.4,14
272,8.4,14
271,8.4,14
184,8.4,14
26,8.4,14
475,8.4,14
473,8.4,14
527,8.4,14
772,8.4,14
638,8.4,14
484,8.4,14
695,8.4,14
421,8.4,14
714,8.4,14
926,8.4,14
286,8.4,14
1043,8.4,14
704,8.4,14
137,8.4,14
621,8.4,14
435,8.4,14
374,8.4,14
674,8.4,14
131,8.4,14
676,8.4,14
943,8.4,14
686,8.4,14
92,8.4,14
684,8.4,14
395,8.4,14
242,8.4,14
380,8.4,14
1008,8.4,14
747,8.4,14
416,8.4,14
557,8.4,14
50,8.4,14
160,8.4,14
1049,8.4,14
750,8.4,14
749,8.4,14
364,8.4,14
642,8.4,14
66,8.4,14
397,8.4,14
742,8.4,14
60,8.4,14
570,8.4,14
574,8.4,14
630,8.4,14
984,8.4,14
300,8.3,15
429,8.3,15
430,8.3,15
236,8.3,15
403,8.3,15
428,8.3,15
244,8.3,15
277,8.3,15
420,8.3,15
214,8.3,15
393,8.3,15
477,8.3,15
356,8.3,15
351,8.3,15
450,8.3,15
207,8.3,15
341,8.3,15
376,8.3,15
377,8.3,15
250,8.3,15
329,8.3,15
1001,8.3,15
983,8.3,15
358,8.3,15
322,8.3,15
386,8.3,15
391,8.3,15
248,8.3,15
894,8.3,15
909,8.3,15
626,8.3,15
816,8.3,15
31,8.3,15
808,8.3,15
910,8.3,15
133,8.3,15
603,8.3,15
37,8.3,15
39,8.3,15
618,8.3,15
44,8.3,15
767,8.3,15
1051,8.3,15
748,8.3,15
123,8.3,15
627,8.3,15
572,8.3,15
629,8.3,15
119,8.3,15
922,8.3,15
933,8.3,15
640,8.3,15
645,8.3,15
724,8.3,15
924,8.3,15
722,8.3,15
72,8.3,15
700,8.3,15
665,8.3,15
928,8.3,15
678,8.3,15
818,8.3,15
94,8.3,15
880,8.3,15
884,8.3,15
